Numer_zgloszenia	Numer_komputera	Data_awarii	Czas_awarii	Priorytet
606	367	03.04.2015 00:00	20:09:40	4
607	168	03.04.2015 00:00	20:44:30	2
608	310	03.04.2015 00:00	22:07:56	9
609	236	03.04.2015 00:00	23:55:19	3
610	255	04.04.2015 00:00	00:43:23	1
611	409	04.04.2015 00:00	03:48:39	2
612	224	04.04.2015 00:00	05:31:51	3
613	154	04.04.2015 00:00	11:45:09	4
614	219	04.04.2015 00:00	15:21:38	2
615	437	04.04.2015 00:00	16:16:05	9
616	485	04.04.2015 00:00	16:30:30	6
617	456	04.04.2015 00:00	16:58:35	3
618	302	04.04.2015 00:00	17:03:31	8
619	98	05.04.2015 00:00	02:43:10	1
620	89	05.04.2015 00:00	16:14:07	10
621	59	05.04.2015 00:00	20:33:18	6
622	102	06.04.2015 00:00	00:16:54	3
623	421	06.04.2015 00:00	00:32:34	9
624	30	06.04.2015 00:00	04:56:11	6
625	8	06.04.2015 00:00	05:19:57	3
626	159	06.04.2015 00:00	07:26:33	2
627	424	06.04.2015 00:00	09:50:54	8
628	425	06.04.2015 00:00	11:05:06	1
629	79	06.04.2015 00:00	12:36:24	5
630	327	06.04.2015 00:00	15:51:13	8
631	304	07.04.2015 00:00	00:22:20	3
632	240	07.04.2015 00:00	02:16:02	2
633	310	07.04.2015 00:00	10:34:33	6
634	54	07.04.2015 00:00	12:40:58	5
635	219	07.04.2015 00:00	14:42:56	4
636	220	07.04.2015 00:00	20:21:26	3
637	404	07.04.2015 00:00	22:36:23	5
638	66	08.04.2015 00:00	00:46:34	7
639	250	08.04.2015 00:00	05:46:39	3
640	404	08.04.2015 00:00	06:13:28	9
641	120	08.04.2015 00:00	06:26:52	9
642	378	08.04.2015 00:00	06:43:30	9
643	251	08.04.2015 00:00	07:10:46	3
644	271	08.04.2015 00:00	20:21:58	7
645	466	09.04.2015 00:00	00:59:29	2
646	84	09.04.2015 00:00	01:51:59	4
647	1	09.04.2015 00:00	05:02:15	5
648	436	09.04.2015 00:00	08:19:26	5
649	276	09.04.2015 00:00	11:02:05	2
650	482	09.04.2015 00:00	12:48:52	5
651	322	09.04.2015 00:00	13:23:13	10
652	267	09.04.2015 00:00	16:03:49	10
653	249	09.04.2015 00:00	16:20:42	6
654	498	09.04.2015 00:00	17:13:36	8
655	465	09.04.2015 00:00	19:54:28	5
656	341	09.04.2015 00:00	22:27:28	2
657	266	10.04.2015 00:00	03:14:17	9
658	445	10.04.2015 00:00	03:30:16	1
659	314	10.04.2015 00:00	06:20:04	1
660	222	10.04.2015 00:00	08:09:46	1
661	382	10.04.2015 00:00	11:31:24	9
662	186	10.04.2015 00:00	14:25:12	7
663	132	10.04.2015 00:00	22:35:48	8
664	214	11.04.2015 00:00	09:50:05	3
665	224	11.04.2015 00:00	13:00:51	5
666	4	11.04.2015 00:00	16:09:25	1
667	162	11.04.2015 00:00	23:04:26	9
668	495	11.04.2015 00:00	23:20:31	4
669	24	12.04.2015 00:00	04:40:11	7
670	347	12.04.2015 00:00	09:33:59	1
671	213	12.04.2015 00:00	22:19:43	4
672	64	12.04.2015 00:00	23:17:44	5
673	466	12.04.2015 00:00	23:25:03	6
674	253	13.04.2015 00:00	02:13:50	6
675	335	13.04.2015 00:00	02:20:04	4
676	445	13.04.2015 00:00	06:44:06	10
677	406	13.04.2015 00:00	10:49:52	8
678	426	13.04.2015 00:00	14:17:34	6
679	372	13.04.2015 00:00	14:21:29	8
680	298	13.04.2015 00:00	16:36:10	3
681	294	13.04.2015 00:00	23:02:30	6
682	417	14.04.2015 00:00	01:30:41	6
683	404	14.04.2015 00:00	03:44:27	5
684	232	14.04.2015 00:00	05:43:07	9
685	162	14.04.2015 00:00	07:08:14	10
686	223	14.04.2015 00:00	10:58:41	6
687	143	14.04.2015 00:00	13:57:56	10
688	95	14.04.2015 00:00	18:46:19	2
689	288	14.04.2015 00:00	23:47:52	1
690	102	15.04.2015 00:00	00:11:46	8
691	193	15.04.2015 00:00	01:18:42	6
692	366	15.04.2015 00:00	04:56:52	2
693	496	15.04.2015 00:00	06:20:02	2
694	245	15.04.2015 00:00	16:25:10	8
695	377	15.04.2015 00:00	18:22:01	4
696	2	15.04.2015 00:00	22:13:52	3
697	469	16.04.2015 00:00	09:09:03	1
698	144	16.04.2015 00:00	12:29:36	9
699	298	16.04.2015 00:00	13:13:56	10
700	111	16.04.2015 00:00	13:20:21	6
701	159	16.04.2015 00:00	16:00:35	7
702	467	16.04.2015 00:00	18:41:25	5
703	30	16.04.2015 00:00	19:54:22	4
704	262	17.04.2015 00:00	00:57:57	1
705	151	17.04.2015 00:00	01:12:47	2
706	382	17.04.2015 00:00	04:03:15	6
707	191	17.04.2015 00:00	04:47:44	2
708	91	17.04.2015 00:00	05:03:33	4
709	191	17.04.2015 00:00	05:21:18	2
710	10	17.04.2015 00:00	18:18:27	3
711	461	17.04.2015 00:00	20:58:46	10
712	177	17.04.2015 00:00	21:00:15	4
713	225	17.04.2015 00:00	22:20:51	10
714	144	17.04.2015 00:00	23:12:58	5
715	389	18.04.2015 00:00	02:09:49	7
716	395	18.04.2015 00:00	05:49:00	8
717	71	18.04.2015 00:00	14:24:27	5
718	55	18.04.2015 00:00	17:26:42	2
719	237	18.04.2015 00:00	17:34:33	7
720	144	18.04.2015 00:00	18:32:09	5
721	201	18.04.2015 00:00	20:03:56	3
722	226	18.04.2015 00:00	20:39:08	6
723	228	18.04.2015 00:00	22:25:01	2
724	77	19.04.2015 00:00	02:38:40	7
725	130	19.04.2015 00:00	03:25:04	7
726	187	19.04.2015 00:00	10:20:46	2
727	112	19.04.2015 00:00	12:50:40	8
728	480	19.04.2015 00:00	17:10:07	9
729	238	19.04.2015 00:00	18:10:01	6
730	269	19.04.2015 00:00	18:33:15	5
731	155	19.04.2015 00:00	19:03:52	6
732	95	19.04.2015 00:00	23:02:16	7
733	463	19.04.2015 00:00	23:49:53	8
734	272	20.04.2015 00:00	01:51:45	4
735	406	20.04.2015 00:00	05:49:24	1
736	30	20.04.2015 00:00	08:18:24	9
737	318	20.04.2015 00:00	10:49:40	10
738	462	20.04.2015 00:00	13:26:05	2
739	102	20.04.2015 00:00	13:52:36	8
740	226	20.04.2015 00:00	20:49:08	5
741	273	20.04.2015 00:00	22:46:48	3
742	107	21.04.2015 00:00	14:19:30	7
743	318	21.04.2015 00:00	17:31:05	3
744	69	21.04.2015 00:00	22:56:01	7
745	317	22.04.2015 00:00	00:03:43	6
746	11	22.04.2015 00:00	01:27:02	6
747	142	22.04.2015 00:00	12:56:37	9
748	367	22.04.2015 00:00	13:27:11	6
749	41	22.04.2015 00:00	16:03:32	2
750	208	22.04.2015 00:00	21:56:03	1
751	16	23.04.2015 00:00	02:58:33	8
752	101	23.04.2015 00:00	09:43:32	4
753	165	23.04.2015 00:00	11:53:06	9
754	224	23.04.2015 00:00	16:05:33	10
755	60	23.04.2015 00:00	17:40:40	9
756	75	23.04.2015 00:00	23:27:16	5
757	52	24.04.2015 00:00	00:50:03	8
758	341	24.04.2015 00:00	08:11:03	8
759	483	24.04.2015 00:00	08:40:05	5
760	225	24.04.2015 00:00	09:37:41	3
761	445	24.04.2015 00:00	22:57:27	7
762	78	24.04.2015 00:00	23:39:55	10
763	29	25.04.2015 00:00	05:07:00	7
764	461	25.04.2015 00:00	06:46:46	3
765	367	25.04.2015 00:00	07:22:17	6
766	413	25.04.2015 00:00	09:51:15	10
767	459	25.04.2015 00:00	10:06:18	3
768	231	25.04.2015 00:00	12:26:06	8
769	184	25.04.2015 00:00	13:46:10	6
770	398	25.04.2015 00:00	15:06:46	8
771	235	25.04.2015 00:00	17:10:47	2
772	97	26.04.2015 00:00	04:41:07	6
773	171	26.04.2015 00:00	09:35:59	3
774	347	26.04.2015 00:00	09:55:46	7
775	90	26.04.2015 00:00	10:19:14	2
776	32	26.04.2015 00:00	18:52:52	7
777	325	26.04.2015 00:00	20:41:24	5
778	389	26.04.2015 00:00	21:03:56	7
779	443	26.04.2015 00:00	22:08:20	9
780	465	26.04.2015 00:00	22:37:24	9
781	159	27.04.2015 00:00	00:04:54	6
782	77	27.04.2015 00:00	03:21:12	1
783	93	27.04.2015 00:00	03:29:52	9
784	372	27.04.2015 00:00	04:05:50	5
785	316	27.04.2015 00:00	05:16:08	5
786	83	27.04.2015 00:00	06:23:17	9
787	279	27.04.2015 00:00	07:58:56	4
788	201	27.04.2015 00:00	08:47:18	4
789	434	27.04.2015 00:00	10:29:49	3
790	348	27.04.2015 00:00	21:10:37	9
791	139	28.04.2015 00:00	08:41:29	9
792	165	28.04.2015 00:00	11:56:02	10
793	202	28.04.2015 00:00	12:56:09	1
794	43	28.04.2015 00:00	15:01:01	6
795	177	28.04.2015 00:00	21:56:09	8
796	42	28.04.2015 00:00	23:13:56	10
797	143	29.04.2015 00:00	00:02:30	8
798	102	29.04.2015 00:00	01:16:00	9
799	104	29.04.2015 00:00	06:43:42	1
800	219	29.04.2015 00:00	07:12:36	10
801	175	29.04.2015 00:00	07:28:25	5
802	459	29.04.2015 00:00	16:32:04	7
803	425	29.04.2015 00:00	18:16:23	9
804	84	30.04.2015 00:00	00:39:04	2
805	369	30.04.2015 00:00	03:14:01	4
806	341	30.04.2015 00:00	03:50:19	8
807	413	30.04.2015 00:00	05:57:47	6
808	112	30.04.2015 00:00	14:52:37	10
809	192	30.04.2015 00:00	21:40:15	2
810	141	01.05.2015 00:00	01:26:51	1
811	97	01.05.2015 00:00	01:36:25	3
812	303	01.05.2015 00:00	02:01:42	2
813	78	01.05.2015 00:00	05:15:10	3
814	435	01.05.2015 00:00	06:07:25	3
815	18	01.05.2015 00:00	07:27:55	4
816	106	01.05.2015 00:00	09:15:43	10
817	245	01.05.2015 00:00	10:42:53	9
818	28	01.05.2015 00:00	16:16:07	4
819	440	01.05.2015 00:00	18:39:43	4
820	355	01.05.2015 00:00	23:04:40	7
821	316	02.05.2015 00:00	01:13:15	5
822	327	02.05.2015 00:00	06:12:35	10
823	316	02.05.2015 00:00	07:43:03	5
824	360	02.05.2015 00:00	17:34:17	6
825	47	02.05.2015 00:00	20:06:42	8
826	413	03.05.2015 00:00	02:04:12	9
827	88	03.05.2015 00:00	14:30:23	10
828	383	03.05.2015 00:00	18:05:32	2
829	29	03.05.2015 00:00	21:31:03	4
830	321	03.05.2015 00:00	21:34:52	6
831	187	04.05.2015 00:00	04:23:11	1
832	156	04.05.2015 00:00	04:51:11	5
833	47	04.05.2015 00:00	08:23:36	7
834	7	04.05.2015 00:00	08:33:06	9
835	332	04.05.2015 00:00	08:34:42	5
836	60	04.05.2015 00:00	09:04:43	3
837	103	04.05.2015 00:00	10:27:09	10
838	470	04.05.2015 00:00	12:11:19	9
839	452	04.05.2015 00:00	12:29:05	8
840	165	05.05.2015 00:00	05:01:49	6
841	84	05.05.2015 00:00	06:54:43	4
842	311	05.05.2015 00:00	17:56:59	1
843	373	06.05.2015 00:00	05:57:20	2
844	401	06.05.2015 00:00	06:40:33	5
845	494	06.05.2015 00:00	07:53:14	7
846	486	06.05.2015 00:00	10:45:44	5
847	209	06.05.2015 00:00	13:26:52	10
848	167	06.05.2015 00:00	16:59:46	4
849	403	06.05.2015 00:00	22:20:49	6
850	217	07.05.2015 00:00	04:53:13	10
851	209	07.05.2015 00:00	06:21:27	3
852	190	07.05.2015 00:00	06:31:47	9
853	329	07.05.2015 00:00	11:37:34	10
854	285	07.05.2015 00:00	12:29:51	1
855	229	07.05.2015 00:00	14:15:21	4
856	71	07.05.2015 00:00	15:42:44	3
857	2	07.05.2015 00:00	16:54:37	9
858	336	07.05.2015 00:00	18:37:12	8
859	401	07.05.2015 00:00	21:12:47	1
860	247	07.05.2015 00:00	22:52:31	8
861	433	07.05.2015 00:00	23:10:06	1
862	141	08.05.2015 00:00	03:22:32	7
863	142	08.05.2015 00:00	05:02:44	3
864	387	08.05.2015 00:00	06:24:37	4
865	142	08.05.2015 00:00	07:12:46	4
866	388	08.05.2015 00:00	09:21:53	3
867	132	08.05.2015 00:00	14:14:56	9
868	60	08.05.2015 00:00	21:04:46	2
869	69	08.05.2015 00:00	22:41:51	1
870	230	09.05.2015 00:00	00:56:17	7
871	274	09.05.2015 00:00	03:38:49	2
872	391	09.05.2015 00:00	07:40:50	10
873	436	09.05.2015 00:00	09:22:06	1
874	417	09.05.2015 00:00	15:57:38	6
875	261	09.05.2015 00:00	16:36:52	5
876	329	09.05.2015 00:00	22:28:33	10
877	400	10.05.2015 00:00	00:56:50	5
878	488	10.05.2015 00:00	03:59:27	6
879	232	10.05.2015 00:00	07:47:04	9
880	183	10.05.2015 00:00	11:47:19	7
881	81	10.05.2015 00:00	13:26:00	2
882	40	10.05.2015 00:00	18:25:24	8
883	358	10.05.2015 00:00	22:24:33	2
884	22	11.05.2015 00:00	02:19:09	6
885	106	11.05.2015 00:00	04:43:35	9
886	312	11.05.2015 00:00	05:29:59	2
887	493	11.05.2015 00:00	06:02:23	7
888	392	11.05.2015 00:00	10:07:22	7
889	447	11.05.2015 00:00	10:53:32	2
890	306	11.05.2015 00:00	13:03:35	1
891	391	11.05.2015 00:00	17:15:35	4
892	155	11.05.2015 00:00	19:17:00	8
893	176	12.05.2015 00:00	01:19:42	3
894	157	12.05.2015 00:00	06:14:49	10
895	403	12.05.2015 00:00	06:32:06	10
896	197	12.05.2015 00:00	09:55:27	6
897	474	12.05.2015 00:00	20:29:41	5
898	485	12.05.2015 00:00	22:53:31	2
899	301	13.05.2015 00:00	02:48:10	2
900	341	13.05.2015 00:00	07:33:34	9
901	166	13.05.2015 00:00	08:51:16	8
902	141	13.05.2015 00:00	09:19:36	7
903	302	13.05.2015 00:00	09:19:55	10
904	37	13.05.2015 00:00	14:08:08	5
905	212	13.05.2015 00:00	14:36:07	8
906	52	13.05.2015 00:00	19:08:05	2
907	408	14.05.2015 00:00	07:36:06	10
908	109	14.05.2015 00:00	09:28:16	6
909	452	14.05.2015 00:00	11:10:38	6
910	32	14.05.2015 00:00	11:53:56	7
911	36	14.05.2015 00:00	12:00:50	9
912	115	14.05.2015 00:00	12:28:11	2
913	276	14.05.2015 00:00	13:10:56	4
914	93	14.05.2015 00:00	14:12:10	9
915	210	15.05.2015 00:00	03:22:16	6
916	344	15.05.2015 00:00	06:08:59	1
917	451	15.05.2015 00:00	08:44:27	2
918	364	15.05.2015 00:00	09:10:37	4
919	95	15.05.2015 00:00	09:32:44	8
920	356	15.05.2015 00:00	13:53:25	8
921	451	15.05.2015 00:00	15:25:28	10
922	434	15.05.2015 00:00	17:11:44	8
923	332	15.05.2015 00:00	18:22:17	2
924	272	15.05.2015 00:00	18:25:43	6
925	454	15.05.2015 00:00	19:12:47	6
926	241	16.05.2015 00:00	08:52:35	1
927	48	16.05.2015 00:00	10:19:45	5
928	291	16.05.2015 00:00	14:10:43	9
929	106	16.05.2015 00:00	19:16:58	7
930	385	17.05.2015 00:00	05:45:18	3
931	333	17.05.2015 00:00	06:07:01	7
932	434	17.05.2015 00:00	10:51:39	7
933	253	17.05.2015 00:00	12:07:42	5
934	97	17.05.2015 00:00	13:52:03	9
935	172	18.05.2015 00:00	01:19:59	1
936	91	18.05.2015 00:00	02:01:28	4
937	42	18.05.2015 00:00	17:01:18	3
938	362	18.05.2015 00:00	19:54:03	8
939	72	18.05.2015 00:00	22:03:03	4
940	136	19.05.2015 00:00	00:43:59	7
941	237	19.05.2015 00:00	06:05:52	5
942	486	19.05.2015 00:00	08:10:00	2
943	37	19.05.2015 00:00	11:19:48	6
944	323	19.05.2015 00:00	11:23:38	5
945	456	19.05.2015 00:00	14:02:29	9
946	157	19.05.2015 00:00	22:19:58	6
947	460	19.05.2015 00:00	22:41:08	8
948	12	19.05.2015 00:00	23:26:46	8
949	344	19.05.2015 00:00	23:55:51	7
950	473	20.05.2015 00:00	01:49:29	9
951	489	20.05.2015 00:00	03:18:46	5
952	61	20.05.2015 00:00	05:36:06	7
953	425	20.05.2015 00:00	15:27:49	9
954	299	20.05.2015 00:00	21:24:29	6
955	84	20.05.2015 00:00	22:36:46	3
956	420	20.05.2015 00:00	22:42:35	8
957	352	21.05.2015 00:00	08:40:13	6
958	349	21.05.2015 00:00	18:19:20	3
959	432	22.05.2015 00:00	02:03:29	2
960	231	22.05.2015 00:00	06:28:37	2
961	378	22.05.2015 00:00	13:14:16	7
962	226	22.05.2015 00:00	15:55:05	2
963	96	22.05.2015 00:00	16:34:02	10
964	250	22.05.2015 00:00	18:00:23	9
965	487	22.05.2015 00:00	18:52:19	5
966	428	23.05.2015 00:00	02:00:11	9
967	413	23.05.2015 00:00	11:01:09	1
968	56	23.05.2015 00:00	11:59:45	6
969	247	23.05.2015 00:00	16:50:46	3
970	312	23.05.2015 00:00	22:34:01	3
971	131	23.05.2015 00:00	23:00:18	6
972	74	24.05.2015 00:00	04:06:22	3
973	112	24.05.2015 00:00	12:55:00	7
974	473	24.05.2015 00:00	16:56:53	6
975	435	24.05.2015 00:00	19:36:36	10
976	361	24.05.2015 00:00	23:42:50	10
977	372	25.05.2015 00:00	03:12:34	4
978	496	25.05.2015 00:00	07:56:42	6
979	240	25.05.2015 00:00	08:41:22	4
980	380	25.05.2015 00:00	12:39:20	2
981	443	25.05.2015 00:00	13:27:05	10
982	232	25.05.2015 00:00	13:39:02	3
983	63	25.05.2015 00:00	15:43:04	10
984	202	25.05.2015 00:00	18:02:40	10
985	411	25.05.2015 00:00	18:56:25	10
986	427	25.05.2015 00:00	21:54:06	4
987	391	25.05.2015 00:00	22:50:02	5
988	360	26.05.2015 00:00	00:40:00	2
989	19	26.05.2015 00:00	06:31:44	1
990	142	26.05.2015 00:00	07:35:27	8
991	93	26.05.2015 00:00	10:38:21	2
992	388	26.05.2015 00:00	11:38:17	7
993	483	26.05.2015 00:00	16:29:09	8
994	78	27.05.2015 00:00	00:16:37	3
995	74	27.05.2015 00:00	08:55:15	1
996	120	27.05.2015 00:00	10:12:56	9
997	494	27.05.2015 00:00	10:46:49	10
998	176	27.05.2015 00:00	11:28:30	1
999	247	28.05.2015 00:00	00:00:21	5
1000	228	28.05.2015 00:00	05:03:18	5
1001	465	28.05.2015 00:00	10:06:19	1
1002	289	28.05.2015 00:00	12:12:36	1
1003	12	28.05.2015 00:00	13:29:36	6
1004	244	28.05.2015 00:00	15:25:33	10
1005	358	28.05.2015 00:00	19:10:11	6
1006	386	28.05.2015 00:00	19:35:01	1
1007	32	29.05.2015 00:00	01:00:36	1
1008	486	29.05.2015 00:00	02:03:33	5
1009	1	29.05.2015 00:00	05:51:44	4
1010	210	29.05.2015 00:00	05:59:04	10
1011	402	29.05.2015 00:00	07:12:13	5
1012	380	29.05.2015 00:00	08:38:24	7
1013	253	29.05.2015 00:00	09:29:23	7
1014	180	29.05.2015 00:00	15:15:03	1
1015	464	29.05.2015 00:00	21:06:33	9
1016	155	30.05.2015 00:00	04:29:07	6
1017	228	30.05.2015 00:00	07:29:27	2
1018	435	30.05.2015 00:00	17:40:47	2
1019	186	30.05.2015 00:00	18:06:02	9
1020	414	30.05.2015 00:00	19:39:32	8
1021	184	30.05.2015 00:00	20:04:28	9
1022	454	31.05.2015 00:00	02:48:57	7
1023	192	31.05.2015 00:00	04:51:38	1
1024	181	31.05.2015 00:00	11:40:22	7
1025	155	31.05.2015 00:00	11:58:03	6
1026	151	31.05.2015 00:00	12:19:03	1
1027	21	31.05.2015 00:00	21:29:33	6
1028	304	01.06.2015 00:00	02:48:40	6
1029	141	01.06.2015 00:00	03:16:12	3
1030	140	01.06.2015 00:00	05:39:57	9
1031	473	01.06.2015 00:00	05:45:11	2
1032	190	01.06.2015 00:00	06:07:20	10
1033	40	01.06.2015 00:00	06:10:09	1
1034	124	01.06.2015 00:00	09:29:28	10
1035	62	01.06.2015 00:00	12:34:05	6
1036	256	01.06.2015 00:00	19:13:48	8
1037	461	02.06.2015 00:00	05:18:11	10
1038	103	02.06.2015 00:00	07:06:20	3
1039	321	02.06.2015 00:00	10:21:05	1
1040	78	02.06.2015 00:00	16:04:49	9
1041	244	02.06.2015 00:00	16:57:34	1
1042	14	02.06.2015 00:00	17:20:05	1
1043	34	03.06.2015 00:00	06:51:29	8
1044	56	03.06.2015 00:00	09:17:23	5
1045	145	03.06.2015 00:00	09:23:01	6
1046	396	03.06.2015 00:00	10:00:30	1
1047	38	03.06.2015 00:00	12:52:55	7
1048	4	03.06.2015 00:00	17:30:37	10
1049	48	03.06.2015 00:00	17:48:26	8
1050	158	04.06.2015 00:00	06:29:41	1
1051	296	04.06.2015 00:00	07:17:00	8
1052	147	04.06.2015 00:00	10:38:50	5
1053	139	04.06.2015 00:00	13:06:51	10
1054	42	04.06.2015 00:00	13:46:48	8
1055	127	04.06.2015 00:00	15:03:35	8
1056	48	04.06.2015 00:00	20:53:49	8
1057	231	05.06.2015 00:00	00:55:08	6
1058	330	05.06.2015 00:00	04:24:47	4
1059	235	05.06.2015 00:00	05:25:28	2
1060	451	05.06.2015 00:00	14:09:29	6
1061	192	05.06.2015 00:00	16:10:14	10
1062	360	05.06.2015 00:00	22:43:42	5
1063	391	05.06.2015 00:00	22:51:58	1
1064	362	06.06.2015 00:00	00:04:06	3
1065	220	06.06.2015 00:00	05:33:18	4
1066	372	06.06.2015 00:00	07:01:23	10
1067	139	06.06.2015 00:00	16:30:47	8
1068	111	06.06.2015 00:00	17:10:42	7
1069	34	07.06.2015 00:00	05:28:04	3
1070	4	07.06.2015 00:00	13:15:22	8
1071	192	07.06.2015 00:00	16:45:11	5
1072	277	07.06.2015 00:00	20:06:02	4
1073	383	07.06.2015 00:00	22:13:46	9
1074	166	08.06.2015 00:00	06:10:20	8
1075	174	08.06.2015 00:00	08:53:12	4
1076	411	08.06.2015 00:00	10:39:04	8
1077	7	08.06.2015 00:00	13:05:46	5
1078	419	08.06.2015 00:00	22:11:52	4
1079	366	09.06.2015 00:00	02:44:57	7
1080	272	09.06.2015 00:00	03:26:14	1
1081	306	09.06.2015 00:00	05:17:50	9
1082	171	09.06.2015 00:00	05:45:06	5
1083	217	09.06.2015 00:00	10:03:50	1
1084	394	09.06.2015 00:00	10:31:27	6
1085	90	09.06.2015 00:00	21:36:06	3
1086	156	10.06.2015 00:00	00:04:27	6
1087	470	10.06.2015 00:00	01:58:01	4
1088	187	10.06.2015 00:00	03:00:49	5
1089	393	10.06.2015 00:00	08:16:09	6
1090	332	10.06.2015 00:00	18:34:10	6
1091	213	10.06.2015 00:00	18:34:30	4
1092	187	11.06.2015 00:00	01:36:43	5
1093	50	11.06.2015 00:00	08:03:08	9
1094	151	11.06.2015 00:00	10:41:28	5
1095	369	11.06.2015 00:00	12:02:05	8
1096	79	11.06.2015 00:00	14:30:57	3
1097	286	11.06.2015 00:00	17:38:40	2
1098	473	11.06.2015 00:00	19:59:00	8
1099	188	11.06.2015 00:00	21:56:35	8
1100	209	12.06.2015 00:00	10:07:53	10
1101	481	12.06.2015 00:00	12:44:50	4
1102	217	12.06.2015 00:00	15:04:33	6
1103	21	12.06.2015 00:00	15:21:59	7
1104	158	12.06.2015 00:00	15:52:49	5
1105	2	12.06.2015 00:00	22:31:27	4
1106	63	12.06.2015 00:00	23:49:08	1
1107	464	13.06.2015 00:00	06:42:49	10
1108	202	13.06.2015 00:00	09:07:15	7
1109	235	13.06.2015 00:00	13:27:08	8
1110	97	13.06.2015 00:00	17:48:16	1
1111	449	13.06.2015 00:00	21:12:52	7
1112	161	14.06.2015 00:00	07:19:45	3
1113	327	14.06.2015 00:00	08:20:50	7
1114	220	14.06.2015 00:00	12:36:19	7
1115	327	14.06.2015 00:00	14:18:29	5
1116	16	14.06.2015 00:00	15:01:55	2
1117	235	14.06.2015 00:00	19:10:28	8
1118	486	15.06.2015 00:00	02:38:45	2
1119	282	15.06.2015 00:00	09:22:55	6
1120	411	15.06.2015 00:00	13:38:34	5
1121	204	15.06.2015 00:00	15:42:21	10
1122	246	15.06.2015 00:00	18:05:16	9
1123	362	15.06.2015 00:00	20:54:35	3
1124	205	16.06.2015 00:00	00:26:57	4
1125	496	16.06.2015 00:00	00:38:16	1
1126	255	16.06.2015 00:00	12:40:13	10
1127	39	16.06.2015 00:00	16:43:41	8
1128	61	16.06.2015 00:00	21:37:50	7
1129	469	17.06.2015 00:00	12:47:32	8
1130	150	17.06.2015 00:00	13:16:27	5
1131	139	17.06.2015 00:00	13:50:50	6
1132	341	17.06.2015 00:00	14:15:34	6
1133	261	17.06.2015 00:00	16:11:10	10
1134	130	17.06.2015 00:00	17:53:39	7
1135	117	17.06.2015 00:00	20:14:10	9
1136	408	17.06.2015 00:00	21:03:00	3
1137	498	17.06.2015 00:00	23:23:35	5
1138	333	18.06.2015 00:00	00:00:37	5
1139	37	18.06.2015 00:00	01:19:52	10
1140	13	18.06.2015 00:00	05:02:40	8
1141	103	18.06.2015 00:00	05:03:59	7
1142	273	18.06.2015 00:00	05:29:03	9
1143	59	18.06.2015 00:00	09:45:52	10
1144	268	18.06.2015 00:00	13:30:20	1
1145	372	18.06.2015 00:00	16:42:02	7
1146	355	18.06.2015 00:00	19:25:05	2
1147	437	18.06.2015 00:00	20:02:23	2
1148	327	19.06.2015 00:00	03:43:28	7
1149	449	19.06.2015 00:00	07:22:57	10
1150	473	19.06.2015 00:00	15:03:49	8
1151	433	19.06.2015 00:00	19:15:07	9
1152	120	19.06.2015 00:00	21:59:25	7
1153	332	20.06.2015 00:00	00:46:51	6
1154	251	20.06.2015 00:00	02:38:03	1
1155	143	20.06.2015 00:00	12:49:15	1
1156	212	20.06.2015 00:00	18:55:14	3
1157	123	20.06.2015 00:00	18:56:01	3
1158	66	21.06.2015 00:00	04:03:40	3
1159	318	21.06.2015 00:00	05:03:26	8
1160	479	21.06.2015 00:00	05:26:01	8
1161	272	21.06.2015 00:00	05:38:45	1
1162	361	21.06.2015 00:00	06:23:03	4
1163	73	21.06.2015 00:00	06:36:28	6
1164	59	21.06.2015 00:00	07:57:13	10
1165	48	21.06.2015 00:00	10:26:23	8
1166	427	21.06.2015 00:00	10:30:27	10
1167	157	21.06.2015 00:00	13:34:54	5
1168	157	21.06.2015 00:00	19:02:45	2
1169	231	21.06.2015 00:00	23:00:21	6
1170	436	22.06.2015 00:00	03:39:13	4
1171	5	22.06.2015 00:00	03:43:52	9
1172	129	22.06.2015 00:00	17:39:31	7
1173	312	22.06.2015 00:00	21:23:33	3
1174	324	23.06.2015 00:00	04:27:07	4
1175	274	23.06.2015 00:00	06:19:29	6
1176	493	23.06.2015 00:00	06:27:51	7
1177	419	23.06.2015 00:00	06:32:52	9
1178	358	23.06.2015 00:00	07:53:26	6
1179	161	23.06.2015 00:00	19:45:00	2
1180	334	24.06.2015 00:00	12:53:27	6
1181	475	25.06.2015 00:00	03:05:18	8
1182	396	25.06.2015 00:00	06:19:49	2
1183	53	25.06.2015 00:00	06:22:48	10
1184	470	25.06.2015 00:00	09:38:20	10
1185	184	25.06.2015 00:00	15:34:55	1
1186	47	25.06.2015 00:00	16:14:58	4
1187	21	26.06.2015 00:00	06:16:59	10
1188	344	26.06.2015 00:00	06:35:52	9
1189	244	26.06.2015 00:00	10:26:13	8
1190	306	26.06.2015 00:00	10:30:11	3
1191	279	26.06.2015 00:00	17:17:25	9
1192	25	26.06.2015 00:00	23:47:41	8
1193	356	27.06.2015 00:00	00:05:42	7
1194	210	27.06.2015 00:00	04:14:35	6
1195	438	27.06.2015 00:00	07:54:34	2
1196	391	27.06.2015 00:00	12:23:59	1
1197	333	27.06.2015 00:00	13:35:55	10
1198	306	27.06.2015 00:00	21:58:51	10
1199	129	28.06.2015 00:00	03:14:37	8
1200	291	28.06.2015 00:00	03:15:38	9
1201	51	28.06.2015 00:00	07:46:38	5
1202	28	28.06.2015 00:00	09:29:32	6
1203	87	28.06.2015 00:00	15:21:42	4
